Date,BEN,BEN: Change,BENlog_return,ISRG,ISRG: Change,ISRGlog_return
2019-07-01,27.93351173400879,,,176.43666076660156,,
2019-07-02,27.829757690429688,-0.0037143215134236574,-0.003721236734456428,176.5066680908203,0.00039678445462842937,0.00039670575649348815
2019-07-03,28.133037567138672,0.010897682979585488,0.010838731138039202,179.05999755859375,0.014465909392497478,0.014362276360326949
2019-07-05,28.164958953857422,0.0011346583760309947,0.0011340151377403425,179.0833282470703,0.00013029536912023687,0.00013028688141589415
2019-07-08,27.901578903198242,-0.009351337990255004,-0.00939533626131956,177.72000122070312,-0.007612808181040154,-0.0076419335164598515
2019-07-09,27.869657516479492,-0.0011440709799792614,-0.0011447259287691342,176.08999633789062,-0.009171758224265747,-0.00921407776051357
2019-07-10,27.757930755615234,-0.004008903259689944,-0.0040169604532450135,177.42666625976562,0.007590833946694575,0.007562168538202663
2019-07-11,27.79783821105957,0.0014376956191615164,0.001436663124305254,178.6666717529297,0.006988833861921284,0.006964525156497598
2019-07-12,28.08514976501465,0.01033575171470602,0.010282703051711787,175.4166717529297,-0.01819029798962324,-0.018357775546777193
2019-07-15,28.08514976501465,0.0,0.0,175.9166717529297,0.002850356211889782,0.0028463016494266863
2019-07-16,28.188899993896484,0.003694131231269937,0.0036873246861899825,171.85333251953125,-0.023098090663659754,-0.02336903184020778
2019-07-17,27.79783821105957,-0.013872899720158927,-0.0139700277379018,174.5,0.01540073411243248,0.01528334650945817
2019-07-18,28.292659759521484,0.017800720498655442,0.017644143070414484,178.8766632080078,0.025081164515804,0.024771794348880632
2019-07-19,28.340539932250977,0.0016923178356669233,0.001690887479356087,176.27000427246094,-0.01457238126426641,-0.014679601321338036
2019-07-22,27.79783821105957,-0.01914930775802981,-0.019335030549770486,178.5,0.012651022144937185,0.012571666549669359
2019-07-23,27.909568786621094,0.0040193980090534875,0.0040113418090435195,179.26333618164062,0.004276393174457382,0.004267275390077669
2019-07-24,27.97340965270996,0.002287418575935618,0.0022848064167074944,181.01333618164062,0.009762174671494428,0.00971483250332559
2019-07-25,27.630231857299805,-0.01226800020700769,-0.012343873300885044,177.22999572753906,-0.020900893458507985,-0.021122409152920945
2019-07-26,27.901578903198242,0.009820657578982539,0.009772748332843004,175.8766632080078,-0.0076360241051507405,-0.0076653278083885345
2019-07-29,27.606292724609375,-0.010583135083979789,-0.01063953473442984,176.5366668701172,0.003752650579507577,0.003745626952316739
2019-07-30,26.999736785888672,-0.02197165496908593,-0.022216626718112188,177.2133331298828,0.0038330068861187616,0.0038256796328639186
2019-07-31,26.04201316833496,-0.03547159089544394,-0.03611599232202174,173.1699981689453,-0.02281620061834777,-0.023080518346649405
2019-08-01,25.14813804626465,-0.03432434797925665,-0.03492726510463809,174.64999389648438,0.008546490403581242,0.008510175915395359
2019-08-02,25.0922794342041,-0.00222118281511674,-0.0022236533006103837,171.1999969482422,-0.01975377651766197,-0.01995149042376051
2019-08-05,24.366004943847656,-0.028944141653644895,-0.02937128572711921,163.82000732421875,-0.04310741679659369,-0.04406413708555725
2019-08-06,24.51764488220215,0.006223422292819469,0.006204136773562523,167.92333984375,0.02504781062187522,0.02473925601169677
2019-08-07,24.198396682739258,-0.013021160922949804,-0.013106679416734813,168.45333862304688,0.003156194843373372,0.003151224515897278
2019-08-08,24.397926330566406,0.008245573061849809,0.008211764046947782,173.1366729736328,0.027801968122852072,0.027422510463098328
2019-08-09,23.400299072265625,-0.040889838127387335,-0.04174933908737306,171.8333282470703,-0.007527837425644557,-0.007556314598162766
2019-08-12,22.59421730041504,-0.034447498699107015,-0.035054801273583715,169.9600067138672,-0.01090196850816727,-0.010961830439684562
2019-08-13,22.76979637145996,0.0077709738164595255,0.007740935317994548,172.6666717529297,0.015925305555084313,0.0157998282992536
2019-08-14,21.532745361328125,-0.054328593455599594,-0.05586012064627186,166.82000732421875,-0.03386098990242303,-0.03444755233010996
2019-08-15,21.556692123413086,0.0011121091009587136,0.0011114911657309897,166.6233367919922,-0.0011789385181139034,-0.0011796340128127135
2019-08-16,21.844011306762695,0.013328537685870057,0.013240494191983343,165.14999389648438,-0.008842356202163226,-0.00888168182618018
2019-08-19,21.7801570892334,-0.002923191012519255,-0.002927471879931263,165.1666717529297,0.00010098611602593621,0.00010098101727138727
2019-08-20,21.58063316345215,-0.009160812062273038,-0.009203030334665326,165.94332885742188,0.004702262849093364,0.004691241747050326
2019-08-21,21.58063316345215,0.0,0.0,167.0933380126953,0.0069301318901557885,0.006906228896538401
2019-08-22,21.596593856811523,0.0007395841094415267,0.0007393107518863566,166.7566680908203,-0.0020148614294210887,-0.0020168939933930515
2019-08-23,20.85436248779297,-0.03436798293007004,-0.03497245205389445,161.52667236328125,-0.03136303805668905,-0.03186538956835434
2019-08-26,20.694740295410156,-0.007654139150801043,-0.007683582411973836,163.69667053222656,0.013434302441796664,0.01334486235379151
2019-08-27,20.71070098876953,0.0007712439553018147,0.0007709466995105224,165.0066680908203,0.008002591343700294,0.007970740423352881
2019-08-28,20.750614166259766,0.0019271765601693858,0.0019253219378298745,167.0833282470703,0.012585310522766235,0.012506773755545474
2019-08-29,21.02994155883789,0.013461162659575976,0.013371366155534973,169.3866729736328,0.013785604768157933,0.013691447673547314
2019-08-30,20.974075317382812,-0.0026565095912784997,-0.0026600443743940833,170.44667053222656,0.006257856890304225,0.006238357809896429
2019-09-03,20.774551391601562,-0.009512883059778487,-0.009558419550812363,164.64666748046875,-0.034028256660262546,-0.034620696398543725
